"","Address","Port","Packets","Bytes","Tx.Packets","Tx.Bytes","Rx.Packets","Rx.Bytes","Latitude","Longitude"
"197","192.168.50.50",1181,29,1798,29,1798,0,0,"-","-"
"198","192.168.50.50",1182,30,1860,30,1860,0,0,"-","-"
"199","192.168.12.51",2569,28,1536,25,1374,3,162,"-","-"
"200","192.168.50.50",1183,30,1860,30,1860,0,0,"-","-"
"201","192.168.50.50",1184,30,1860,30,1860,0,0,"-","-"
"202","192.168.50.50",1185,30,1860,30,1860,0,0,"-","-"
"203","192.168.12.51",2571,28,1536,25,1374,3,162,"-","-"
"204","192.168.50.50",1186,30,1860,30,1860,0,0,"-","-"
"205","192.168.50.50",1187,30,1860,30,1860,0,0,"-","-"
"206","192.168.50.50",1188,30,1860,30,1860,0,0,"-","-"
"207","192.168.12.51",2573,28,1536,25,1374,3,162,"-","-"
"208","192.168.50.50",1189,30,1860,30,1860,0,0,"-","-"
"209","192.168.50.50",1190,30,1860,30,1860,0,0,"-","-"
"210","192.168.50.50",1191,30,1860,30,1860,0,0,"-","-"
"211","192.168.12.51",2575,28,1536,25,1374,3,162,"-","-"
"212","192.168.50.50",1192,30,1860,30,1860,0,0,"-","-"
"213","192.168.50.50",1193,30,1860,30,1860,0,0,"-","-"
"214","192.168.50.50",1194,3,186,3,186,0,0,"-","-"
"215","192.168.12.128",81,27,1602,9,486,18,1116,"-","-"
"216","192.168.12.250",1194,6,348,3,186,3,162,"-","-"
"217","192.168.50.50",1195,3,186,3,186,0,0,"-","-"
"218","192.168.12.128",49,27,1602,9,486,18,1116,"-","-"
"219","192.168.12.250",1195,6,348,3,186,3,162,"-","-"
"220","192.168.12.250",1196,6,348,3,186,3,162,"-","-"
"221","192.168.12.128",69,27,1602,9,486,18,1116,"-","-"
"222","192.168.50.50",1196,3,186,3,186,0,0,"-","-"
"223","192.168.12.250",1197,6,348,3,186,3,162,"-","-"
"224","192.168.12.128",80,27,1602,9,486,18,1116,"-","-"
"225","192.168.12.250",1198,6,348,3,186,3,162,"-","-"
"226","192.168.12.128",42,27,1602,9,486,18,1116,"-","-"
"227","192.168.50.50",1197,3,186,3,186,0,0,"-","-"
"228","192.168.12.250",1199,6,348,3,186,3,162,"-","-"
"229","192.168.12.128",25,27,1602,9,486,18,1116,"-","-"
"230","192.168.12.250",1200,6,348,3,186,3,162,"-","-"
"231","192.168.12.128",23,27,1602,9,486,18,1116,"-","-"
"232","192.168.50.50",1198,3,186,3,186,0,0,"-","-"
"233","192.168.50.50",1199,3,186,3,186,0,0,"-","-"
"234","192.168.12.250",1201,6,348,3,186,3,162,"-","-"
"235","192.168.12.128",105,27,1602,9,486,18,1116,"-","-"
"236","192.168.12.250",1202,6,348,3,186,3,162,"-","-"
"237","192.168.12.128",22,27,1602,9,486,18,1116,"-","-"
"238","192.168.50.50",1200,3,186,3,186,0,0,"-","-"
"239","192.168.50.50",1201,3,186,3,186,0,0,"-","-"
"240","192.168.50.50",1202,3,186,3,186,0,0,"-","-"
"241","192.168.12.250",1205,6,348,3,186,3,162,"-","-"
"242","192.168.12.128",21,510,30260,170,9180,340,21080,"-","-"
"243","192.168.50.50",1205,3,186,3,186,0,0,"-","-"
"244","192.168.12.250",1206,6,348,3,186,3,162,"-","-"
"245","192.168.12.128",143,27,1602,9,486,18,1116,"-","-"
"246","192.168.50.50",1206,3,186,3,186,0,0,"-","-"
"247","192.168.12.250",1207,6,340,4,224,2,116,"-","-"
"248","192.168.12.128",139,243,16884,60,3498,183,13386,"-","-"
"249","192.168.50.50",1207,3,170,3,170,0,0,"-","-"
"250","192.168.12.250",1208,6,348,3,186,3,162,"-","-"
"251","192.168.12.128",161,27,1602,9,486,18,1116,"-","-"
"252","192.168.50.50",1208,3,186,3,186,0,0,"-","-"
"253","192.168.12.250",1209,6,348,3,186,3,162,"-","-"
"254","192.168.12.128",389,27,1602,9,486,18,1116,"-","-"
"255","192.168.50.50",1209,3,186,3,186,0,0,"-","-"
"256","192.168.50.50",1210,3,186,3,186,0,0,"-","-"
"257","192.168.12.128",407,27,1602,9,486,18,1116,"-","-"
"258","192.168.12.250",1210,6,348,3,186,3,162,"-","-"
"259","192.168.12.250",1211,7,394,4,224,3,170,"-","-"
"260","192.168.12.128",135,87,19390,27,2598,60,16792,"-","-"
"261","192.168.50.50",1211,3,170,3,170,0,0,"-","-"
"262","192.168.12.250",1212,6,348,3,186,3,162,"-","-"
"263","192.168.12.128",123,27,1602,9,486,18,1116,"-","-"
"264","192.168.50.50",1212,3,186,3,186,0,0,"-","-"
"265","192.168.12.250",1213,6,348,3,186,3,162,"-","-"
"266","192.168.12.128",113,27,1602,9,486,18,1116,"-","-"
"267","192.168.50.50",1213,3,186,3,186,0,0,"-","-"
"268","192.168.12.250",1214,6,348,3,186,3,162,"-","-"
"269","192.168.12.128",111,27,1602,9,486,18,1116,"-","-"
"270","192.168.50.50",1214,3,186,3,186,0,0,"-","-"
"271","192.168.12.250",1215,6,348,3,186,3,162,"-","-"
"272","192.168.12.128",110,27,1602,9,486,18,1116,"-","-"
"273","192.168.50.50",1215,3,186,3,186,0,0,"-","-"
"274","192.168.12.250",1216,6,348,3,186,3,162,"-","-"
"275","192.168.12.128",514,27,1602,9,486,18,1116,"-","-"
"276","192.168.50.50",1216,3,186,3,186,0,0,"-","-"
"277","192.168.12.250",1217,6,348,3,186,3,162,"-","-"
"278","192.168.12.128",523,27,1602,9,486,18,1116,"-","-"
"279","192.168.12.250",1218,6,348,3,186,3,162,"-","-"
"280","192.168.12.128",548,27,1602,9,486,18,1116,"-","-"
"281","192.168.50.50",1217,3,186,3,186,0,0,"-","-"
"282","192.168.12.250",1219,6,348,3,186,3,162,"-","-"
"283","192.168.12.128",617,27,1602,9,486,18,1116,"-","-"
"284","192.168.50.50",1218,3,186,3,186,0,0,"-","-"
"285","192.168.12.250",1220,6,348,3,186,3,162,"-","-"
"286","192.168.12.128",623,27,1602,9,486,18,1116,"-","-"
"287","192.168.12.250",1221,6,348,3,186,3,162,"-","-"
"288","192.168.12.128",515,27,1602,9,486,18,1116,"-","-"
"289","192.168.12.250",1222,6,348,3,186,3,162,"-","-"
"290","192.168.12.128",513,27,1602,9,486,18,1116,"-","-"
"291","192.168.12.250",1223,6,348,3,186,3,162,"-","-"
"292","192.168.12.128",512,27,1602,9,486,18,1116,"-","-"
"293","192.168.50.50",1219,3,186,3,186,0,0,"-","-"
"294","192.168.12.250",1224,6,340,4,224,2,116,"-","-"
"295","192.168.12.128",445,760,103815,176,24247,584,79568,"-","-"
"296","192.168.12.250",1225,6,348,3,186,3,162,"-","-"
"297","192.168.12.128",443,27,1602,9,486,18,1116,"-","-"
"298","192.168.50.50",1220,3,186,3,186,0,0,"-","-"
"299","192.168.50.50",1221,3,186,3,186,0,0,"-","-"
"300","192.168.50.50",1222,3,186,3,186,0,0,"-","-"
"301","192.168.50.50",1223,3,186,3,186,0,0,"-","-"
"302","192.168.50.50",1224,3,170,3,170,0,0,"-","-"
"303","192.168.50.50",1225,3,186,3,186,0,0,"-","-"
"304","192.168.50.50",1226,3,186,3,186,0,0,"-","-"
"305","192.168.12.128",921,27,1602,9,486,18,1116,"-","-"
"306","192.168.12.250",1226,6,348,3,186,3,162,"-","-"
"307","192.168.12.250",1227,6,348,3,186,3,162,"-","-"
"308","192.168.12.128",1000,27,1602,9,486,18,1116,"-","-"
"309","192.168.12.250",1228,6,348,3,186,3,162,"-","-"
"310","192.168.12.128",1099,27,1602,9,486,18,1116,"-","-"
"311","192.168.12.250",1229,6,348,3,186,3,162,"-","-"
"312","192.168.12.128",912,27,1602,9,486,18,1116,"-","-"
"313","192.168.12.250",1230,6,348,3,186,3,162,"-","-"
"314","192.168.12.128",1100,27,1602,9,486,18,1116,"-","-"
"315","192.168.12.250",1231,6,348,3,186,3,162,"-","-"
"316","192.168.12.128",910,27,1602,9,486,18,1116,"-","-"
"317","192.168.12.250",1232,6,348,3,186,3,162,"-","-"
"318","192.168.12.128",902,27,1602,9,486,18,1116,"-","-"
"319","192.168.12.250",1233,6,348,3,186,3,162,"-","-"
"320","192.168.12.128",783,27,1602,9,486,18,1116,"-","-"
"321","192.168.50.50",1227,3,186,3,186,0,0,"-","-"
"322","192.168.12.250",1234,6,348,3,186,3,162,"-","-"
"323","192.168.12.128",705,27,1602,9,486,18,1116,"-","-"
"324","192.168.50.50",1228,3,186,3,186,0,0,"-","-"
"325","192.168.50.50",1229,3,186,3,186,0,0,"-","-"
"326","192.168.12.250",1235,6,348,3,186,3,162,"-","-"
"327","192.168.12.128",689,27,1602,9,486,18,1116,"-","-"
"328","192.168.50.50",1230,3,186,3,186,0,0,"-","-"
"329","192.168.50.50",1231,3,186,3,186,0,0,"-","-"
"330","192.168.50.50",1232,3,186,3,186,0,0,"-","-"
"331","192.168.50.50",1233,3,186,3,186,0,0,"-","-"
"332","192.168.50.50",1234,3,186,3,186,0,0,"-","-"
"333","192.168.50.50",1235,3,186,3,186,0,0,"-","-"
"334","192.168.50.50",1236,3,186,3,186,0,0,"-","-"
"335","192.168.12.128",1755,27,1602,9,486,18,1116,"-","-"
"336","192.168.12.250",1236,6,348,3,186,3,162,"-","-"
"337","192.168.12.250",1237,6,348,3,186,3,162,"-","-"
"338","192.168.12.128",1900,27,1602,9,486,18,1116,"-","-"
"339","192.168.50.50",1237,3,186,3,186,0,0,"-","-"
"340","192.168.12.250",1238,6,348,3,186,3,162,"-","-"
"341","192.168.12.128",1582,27,1602,9,486,18,1116,"-","-"
"342","192.168.50.50",1238,3,186,3,186,0,0,"-","-"
"343","192.168.12.250",1239,6,348,3,186,3,162,"-","-"
"344","192.168.12.128",1720,27,1602,9,486,18,1116,"-","-"
"345","192.168.50.50",1239,3,186,3,186,0,0,"-","-"
"346","192.168.12.250",1240,6,348,3,186,3,162,"-","-"
"347","192.168.12.128",1723,27,1602,9,486,18,1116,"-","-"
"348","192.168.12.250",1241,6,348,3,186,3,162,"-","-"
"349","192.168.12.128",1581,27,1602,9,486,18,1116,"-","-"
"350","192.168.12.250",1242,6,348,3,186,3,162,"-","-"
"351","192.168.12.128",1533,27,1602,9,486,18,1116,"-","-"
"352","192.168.12.250",1243,6,348,3,186,3,162,"-","-"
"353","192.168.12.128",1521,27,1602,9,486,18,1116,"-","-"
"354","192.168.12.250",1244,6,348,3,186,3,162,"-","-"
"355","192.168.12.128",1434,27,1602,9,486,18,1116,"-","-"
"356","192.168.12.250",1245,6,348,3,186,3,162,"-","-"
"357","192.168.12.128",1433,27,1602,9,486,18,1116,"-","-"
"358","192.168.50.50",1240,3,186,3,186,0,0,"-","-"
"359","192.168.50.50",1241,3,186,3,186,0,0,"-","-"
"360","192.168.50.50",1242,3,186,3,186,0,0,"-","-"
"361","192.168.50.50",1243,3,186,3,186,0,0,"-","-"
"362","192.168.50.50",1244,3,186,3,186,0,0,"-","-"
"363","192.168.50.50",1245,3,186,3,186,0,0,"-","-"
"364","192.168.12.51",2577,28,1536,25,1374,3,162,"-","-"
"365","192.168.12.250",1246,6,348,3,186,3,162,"-","-"
"366","192.168.12.128",2967,27,1602,9,486,18,1116,"-","-"
"367","192.168.50.50",1246,3,186,3,186,0,0,"-","-"
"368","192.168.12.250",1247,6,348,3,186,3,162,"-","-"
"369","192.168.12.128",2380,27,1602,9,486,18,1116,"-","-"
"370","192.168.50.50",1247,3,186,3,186,0,0,"-","-"
"371","192.168.12.250",1248,6,348,3,186,3,162,"-","-"
"372","192.168.12.128",2525,27,1602,9,486,18,1116,"-","-"
"373","192.168.12.250",1249,6,348,3,186,3,162,"-","-"
"374","192.168.12.128",2947,27,1602,9,486,18,1116,"-","-"
"375","192.168.50.50",1248,3,186,3,186,0,0,"-","-"
"376","192.168.50.50",1249,3,186,3,186,0,0,"-","-"
"377","192.168.12.250",1250,6,348,3,186,3,162,"-","-"
"378","192.168.12.128",2222,27,1602,9,486,18,1116,"-","-"
"379","192.168.50.50",1250,3,186,3,186,0,0,"-","-"
"380","192.168.12.250",1251,6,348,3,186,3,162,"-","-"
"381","192.168.12.128",2207,27,1602,9,486,18,1116,"-","-"
"382","192.168.12.250",1252,6,348,3,186,3,162,"-","-"
"383","192.168.12.128",2103,27,1602,9,486,18,1116,"-","-"
"384","192.168.50.50",1251,3,186,3,186,0,0,"-","-"
"385","192.168.50.50",1252,3,186,3,186,0,0,"-","-"
"386","192.168.12.250",1253,6,348,3,186,3,162,"-","-"
"387","192.168.12.128",2100,27,1602,9,486,18,1116,"-","-"
"388","192.168.50.50",1253,3,186,3,186,0,0,"-","-"
"389","192.168.12.250",1254,6,348,3,186,3,162,"-","-"
"390","192.168.12.128",2049,27,1602,9,486,18,1116,"-","-"
"391","192.168.50.50",1254,3,186,3,186,0,0,"-","-"
"392","192.168.12.250",1255,6,348,3,186,3,162,"-","-"
"393","192.168.12.128",2000,27,1602,9,486,18,1116,"-","-"
"394","192.168.50.50",1255,3,186,3,186,0,0,"-","-"
"395","192.168.50.50",1256,30,1860,30,1860,0,0,"-","-"
"396","192.168.12.250",1257,6,348,3,186,3,162,"-","-"
"397","192.168.12.128",4000,27,1602,9,486,18,1116,"-","-"
"398","192.168.50.50",1257,3,186,3,186,0,0,"-","-"
"399","192.168.12.250",1258,6,348,3,186,3,162,"-","-"
"400","192.168.12.128",3628,27,1602,9,486,18,1116,"-","-"
"401","192.168.50.50",1258,3,186,3,186,0,0,"-","-"
"402","192.168.12.250",1259,6,348,3,186,3,162,"-","-"
"403","192.168.12.128",3632,27,1602,9,486,18,1116,"-","-"
"404","192.168.50.50",1259,3,186,3,186,0,0,"-","-"
"405","192.168.12.250",1260,6,348,3,186,3,162,"-","-"
"406","192.168.12.128",3690,27,1602,9,486,18,1116,"-","-"
"407","192.168.50.50",1260,3,186,3,186,0,0,"-","-"
"408","192.168.12.250",1261,6,348,3,186,3,162,"-","-"
"409","192.168.12.128",3500,27,1602,9,486,18,1116,"-","-"
"410","192.168.50.50",1261,3,186,3,186,0,0,"-","-"
"411","192.168.50.50",1262,3,186,3,186,0,0,"-","-"
"412","192.168.12.128",3306,27,1602,9,486,18,1116,"-","-"
"413","192.168.12.250",1262,6,348,3,186,3,162,"-","-"
